name,prefecture,area,type,avg_temp,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,free_parking,tags,website,map
潮岬キャンプ場,,,フリー,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.4384275,135.7630963"
神明キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.3471341,136.2777131"
東大沼キャンプ場,,,,,,,,,,,,,,,,,,,https://town.nanae.hokkaido.jp/,"https://www.google.com/maps?q=42.0120425,140.7158054"
きじびき高原キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=41.9241493,140.6162831"
虎御前山キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.4363033,136.2605376"
秡川キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.1332191,140.0708921"
バンガロー村・古里とみやま,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.1725738,137.7822969"
したらの里,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.1712769,137.5493648"
茶臼山高原キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.2230075,137.6588121"
Aキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.9958684,137.626029"
Bキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.9950269,137.6252"
我孫子市ふれあいキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.858335,140.0567619"
池尻キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.2803,135.0017109"
遊・・亭夏虫,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.1380369,141.7809462"
平成の森,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.7197717,141.5353529"
ふれあいランド,,岩手県盛岡市,,,,,,,,,,,,,,,,,https://fureailand.jp/,"https://www.google.com/maps?q=39.655938,141.1676963"
臼澤鹿子踊保存会館伝承館,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.3623219,141.8750324"
あかね会（ケアプラザ大槌）,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.3795029,141.8454398"
大槌町役場かみよ稲穂館,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.3965454,141.8583911"
ホテルシーガリアマリン,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.2536968,141.8894879"
小鎚託児所,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.3794575,141.830521"
佐々木宅,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.3173381,141.9438385"
寒河江市体育館合宿所,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.389197,140.2754915"
楽園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.602035,130.5377311"
はまゆり学園,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.6973109,141.9505702"
樫内地区集会施設,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.711468,141.9706144"
県立宮古北高等学校,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.7300413,141.9513028"
神田地区集会施設,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.7339195,141.9427825"
旧自然休暇村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=39.0111402,141.67878"
スノーピーク陸前高田キャンプフィールド,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.9882833,141.679631"
徳沢キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.2652752,137.6900212"
横尾キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.2930213,137.6984426"
涸沢野営場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.2944025,137.6626455"
Bokketsuru Camping Ground,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.099444,131.261263"
名栗げんきプラザ,,,,,,,,,,,,,,,,,,,http://www.naguri-genki.com/,"https://www.google.com/maps?q=35.9357634,139.1535504"
campeggio,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.935566,135.4098114"
兜山キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.2963982,130.5923557"
甫喜ヶ峰森林公園キャンプ場,,,,,,,,,,,,,,,,,,,http://www.kochi-sanrin.jp/hoki/,"https://www.google.com/maps?q=33.6692473,133.6796945"
月見山こどもの森キャンプ場,,,,,,,,,,,,,,,,,,,http://www13.ocn.ne.jp/~tukimi-y/field/field.htm,"https://www.google.com/maps?q=33.5419872,133.7467654"
中岳キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.835167,131.5865916"
豊川市野外センターきららの里,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.1199453,137.4817985"
帰全山キャンプ場,,,,,,,,,,,,,,,,,,,https://www.town.motoyama.kochi.jp/life/dtl.php?hdnKey=16,"https://www.google.com/maps?q=33.7569336,133.5952691"
デイキャンプ,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.1981324,137.6041051"
市房キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.3183098,131.0705099"
出会いの広場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.5066743,137.8012469"
森のくらしの郷,,,,,,,,,,,,,,,,,,,http://morikura.com/,"https://www.google.com/maps?q=36.5079762,137.7984715"
永田いなか浜キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=30.4076098,130.4348887"
野外活動広場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.8838539,139.3952763"
乳待坊公園いこいの広場キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.219085,129.9067667"
大川内山キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.2301127,129.8906893"
雪の浦キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.9603224,129.7095358"
友愛の丘 キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.8646799,133.9098143"
たけべの森キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.8571353,133.8706969"
吉滝キャンプ場・コテージ村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.4421556,134.5211956"
奥但馬・南部高原キャンプ場・コテージ村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.3977288,134.5207289"
アオゲラの森キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.5751276,139.0371842"
伊勢志摩エバーグレイズ,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.3612761,136.8159947"
面河第一キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.7262607,133.1032274"
小浜キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.5395923,133.2360215"
利根別自然公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.1826129,141.786802"
劔沢キャンプサイト,,,フリー,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.6035173,137.6165848"
カニ山キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.6623965,139.5578354"
白銀荘前キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.4313356,142.6424144"
ボーイスカウト日本連盟 山中野営場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.400819,138.874838"
椿園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.7455357,139.3626584"
上大島キャンプ場,,,フリー,,,,,,,,,,,,,,,温浴,,"https://www.google.com/maps?q=35.5749159,139.3108432"
大倉高原山の家キャンプ場,,,フリー,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.4163676,139.1616026"
滝沢園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.4073329,139.1681747"
おくとろ公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.9377991,135.9507503"
大泊海水浴場キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.8991637,136.1175527"
cazu,,,,,,,,,,,,,,,,,,,https://www.cazu.jp/,"https://www.google.com/maps?q=35.8502358,139.2021533"
ケーニーズ・ファミリー・ビレッジ,,,,,,,,,,,,,,,,,,,https://www.kfv.co.jp/,"https://www.google.com/maps?q=35.8798639,139.1831861"
小梨平キャンプ場,,,フリー,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.2505817,137.6403807"
山田大橋キャンプ場,,,,,,,,,,,,,,,,,,,https://www.akiruno.ne.jp/vsm/logvillage/,"https://www.google.com/maps?q=35.7223821,139.2555438"
子供の森,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=37.4803157,139.9478377"
女木島キャンプ場,,,フリー,,,,,,,,,,,,,,,温浴,,"https://www.google.com/maps?q=34.3916518,134.0538251"
氷川キャンプ場,,,,,,,,,,,,,,,,,,,http://www.okutamas.co.jp/hikawa/,"https://www.google.com/maps?q=35.8069144,139.0995634"
中茶屋キャンプ場,,,,,,,,,,,,,,,,,,,http://www7a.biglobe.ne.jp/~nakachaya/,"https://www.google.com/maps?q=35.845646,139.1530378"
百軒茶屋キャンプ場,,,,,,,,,,,,,,,,,,,https://www.hyakkenjaya.com/,"https://www.google.com/maps?q=35.8467632,139.1540816"
アメリカキャンプ村,,,,,,,,,,,,,,,,,,,http://www.アメリカキャンプ村.com/,"https://www.google.com/maps?q=35.8005281,139.1197828"
航空公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.2384853,143.2747488"
湖山荘キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.412796,138.89252"
そらぷちキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.6316082,142.00027"
モラップキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.7444129,141.408672"
神楽岡公園少年キャンプ村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.7492405,142.3686626"
Kamitoku Campground,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.7085574,142.596848"
川下海浜公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.5834438,141.3862715"
ふれあいの森キャンプ場,,,,,,,,,,,,,,,,,,,https://www.esashi.jp/tourism/page.html?id=83,"https://www.google.com/maps?q=44.7802343,142.507052"
鏡沼海浜公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.8759221,141.7415935"
ミトレアキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=24.4050201,123.8073834"
sotosotodays CAMPGROUNDS 山中湖みさき,,,オート/フリー併設,,,,,,,,,,,,,,,,https://camp.sotosotodays.com/yamanakako-misaki/,"https://www.google.com/maps?q=35.4236184,138.895116"
みどり工房しゃり そよかぜキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.8939043,144.6909328"
ファガスの森 キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.9048921,134.234578"
山中湖村営キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.4043278,138.8690145"
岩尾内湖 白樺キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.0963342,142.7267535"
御座松キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.6741074,137.8920626"
キャンプファーム いなかの風,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.6805678,137.951336"
えびの高原キャンプ村,,,,,,,,,,,,,,,,,,,https://ebino-village.com/,"https://www.google.com/maps?q=31.9438075,130.8390427"
長瀞オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.1048648,139.1139403"
大池キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.4852845,138.0878497"
松原キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=37.6587283,140.0643853"
曽原湖キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=37.6811411,140.0719221"
西興部森林公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.3281454,142.9466547"
豊浦海浜公園,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.5851847,140.7028511"
Takaoka Auto Camp Site,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.5870241,140.6954513"
鹿川キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.7059507,131.5014232"
中標津町緑ヶ丘森林公園 林間キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.5636494,144.9563621"
白州観光キャンプ場尾白,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.7946758,138.2962451"
アルトリ岬キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.5002126,140.7809635"
かなやま湖キャンプ場,,,フリー,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.159501,142.49126"
キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.762907,140.4771"
生出キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=40.412575,140.86687"
青少年旅行,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=30.2717479,130.4160711"
せせらぎパーク鹿野オート,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.2395004,131.8188567"
井戸江峡キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.6504262,130.8426859"
大津市立葛川森林キャンプ村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.2500882,135.8672876"
しらかば公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=37.0539601,139.523776"
小滝沢キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.7348455,140.6156517"
城里町総合野外活動センターふれあいの里管理事務所,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.4389186,140.3553313"
太田山野営場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.83165,137.630104"
円山公園,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=31.3622718,131.0126415"
さたでいランド,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=31.1125668,130.7222199"
神川キャンプ場,,鹿児島県肝属郡錦江町,,,,,,,,,,,,,,,,,http://www.town.kinko.lg.jp/kinko03/kinko04.asp,"https://www.google.com/maps?q=31.272469,130.7921693"
賽の河原公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.2502386,139.5584198"
いこいの森,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.6477777,140.839366"
摂津峡青少年キャンプ場,,高槻市,,,,,,,,,,,,,,,,,https://www.city.takatsuki.osaka.jp/soshiki/60/4910.html,"https://www.google.com/maps?q=34.8766514,135.584265"
うさぎの森オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=37.1478083,139.717674"
一の瀬キャンプ場 (ichinose camp area),,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.1035481,137.616807"
阿寺渓谷キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.6653431,137.6291683"
こだまの森,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.9686363,137.7457886"
キャンピングフィールド木曽古道,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.8362881,137.742323"
ふるさとの森 森林公園 キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=45.0214273,141.8456545"
秋山浜キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=37.4197254,140.0789914"
丸火自然公園東 西グリーンキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.2337708,138.7251809"
美笛キャンプ場,,,,,,,,,,,,,,,,,,,https://www.shikotuko.jp/,"https://www.google.com/maps?q=42.7315098,141.2639554"
境渓谷キャンプ場,,,,,,,,,,,,,,,,,,,https://sakaikeikoku-c.jimdo.com/,"https://www.google.com/maps?q=35.8003505,139.0814456"
西蔵王公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.2017945,140.3494463"
古竜湖キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=38.1866497,140.3464446"
豊岡市大師山自然公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.4930306,134.8240625"
神鍋高原キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.4989335,134.6786311"
久保井野キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.9448169,133.4729599"
庄原市ほたる見公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.9192597,132.8788816"
イオックスアローザ オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.5164334,136.8034807"
瀬波川キャンプ場,,白山市,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.309548,136.676576"
新平ヶ原,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.1897104,131.7710778"
デイキャンプコーナー,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.6056578,139.643104"
川井キャンプ場,,,,,,,,,,,,,,,,,,,http://www.okutamas.co.jp/kawai/,"https://www.google.com/maps?q=35.8115683,139.1649173"
水根沢キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.796109,139.0427575"
清東園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.8436285,139.1537614"
鳩ノ巣バンガロー,,,,,,,,,,,,,,,,,,,http://www.hatonosu.com/,"https://www.google.com/maps?q=35.8147579,139.1300498"
黒部市宇奈月明日キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.8720666,137.5657857"
笠戸島家族旅行村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.9693505,131.8533476"
白浜,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.9528296,131.856399"
ほろかない湖公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.0105035,142.1918679"
鶉ダムオートキャンプ場・ハチャムの森,,厚沢部町,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=41.9488185,140.3871154"
青年小屋テントサイト,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.9449866,138.3485475"
レイクサイドパーク・のとろ キャンプ場,,,フリー,,,,,,,,,,,,,,,,https://www.city.abashiri.hokkaido.jp/040shisetsu/050sports/410lakesidepark_notoro/040camp.html,"https://www.google.com/maps?q=44.0450088,144.186753"
浜小清水前浜キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.934887,144.4509674"
日の出岬キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.5287988,143.0607451"
小平町望洋台キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.0322567,141.666466"
知内町ファミリースポーツ広場キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=41.5987742,140.4136998"
日進湖畔キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.2442908,142.5036687"
十勝ダムキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.2382862,142.9390051"
２１世紀の森 ふれあい広場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.7174691,142.6685254"
２１世紀の森 ファミリーゾーン,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.7159165,142.6792958"
ほたるの里オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.8859234,141.9254549"
丸瀬布いこいの森オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.9318566,143.3373544"
菖蒲ヶ浜キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.7515948,139.4509786"
小島公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.439605,130.4174189"
紫尾 神の湯キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=31.9756803,130.4308201"
山のふるさと村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.7677639,139.0225429"
賀老高原キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.6060289,139.9998063"
Sameura Campsite,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.749205,133.5436521"
Camping area,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.606692,133.1684476"
コムケ国際キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=44.2555513,143.5201814"
DASH島船屋,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.8526053,132.5216064"
水晶浜,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.6861792,135.9775697"
つつじ公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.7608067,143.5202984"
Shobudani Camping Ground,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=33.9079049,130.7808218"
秋吉台オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.2889329,131.325936"
湖畔キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.5770437,144.3068099"
見近島キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.1958295,133.0748433"
一の宮,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.0855228,133.638669"
日向サンパーク オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.3475831,131.6251936"
石並川キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=32.3299355,131.5908499"
ニセコ野営場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.8731433,140.6393543"
湯本温泉野営場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.8688336,140.6008024"
小平のキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.4644637,139.3093089"
安平町ときわキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.7621705,141.8296976"
キムアネップ岬キャンプ場,,,フリー,,,,,,,,,,,,,,,,https://www.town.saroma.hokkaido.jp/kakuka/keizaika/kimuaneppu.html,"https://www.google.com/maps?q=44.1073775,143.9068871"
雷鳥沢キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.5871118,137.6011915"
健康村,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.4064476,132.0314696"
寂地峡,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=34.4294697,132.0550814"
日高沙流川オートキャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.8698672,142.4414012"
鶴沼公園キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=43.4478206,141.8367914"
Kannogawa camping ground,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=35.5289024,139.1081383"
耳浦キャンプ場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=36.1272505,133.045358"
大沼野営場,,,,,,,,,,,,,,,,,,,,"https://www.google.com/maps?q=42.6377497,141.8970481"
